,Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received,Gls 90,Ast 90,G+A 90,G-PK 90,G+A-PK,xG 90,xAG 90,xG+xAG,npxG 90,npxG+xAG 90,Matches,A-xAG,Crosses into Penalty Area,Key Passes,Long Passes Attempted,Long Passes Completed,Long Passes Success %,Medium Passes Attempted,Medium Passes Completed,Medium Passes Success %,Passes into Final Third,Passes into Penalty Area,Progressive Passing Distance,Short Passes Attenpted,Short Passes Completed,Short Passes Success %,Total Passes Attempted,Total Passes Completed,Total Passes Success %,Total Passing Distance,xA,Corner Kick Outward,Corner Kick Straight,Corner Kicks,Corner Kicks Inward,Crosses,Dead-ball Passes,Free Kicks Passes,Live-ball Passes,Passes Blocked by Opponent,Passes Completed,Passes Offside,Switches,Through Balls,Throw Ins,% Dribblers Tackled,Challenges Lost,Clearances,Defensive Errors,Dribblers Tackled,Dribbles Challenged,Interceptions,Passes Blocked,Shots Blocked,Tackles,Tackles Att 3rd,Tackles Def 3rd,Tackles Mid 3rd,Tackles Won,Tackles+Interceptions,Total Blocks
245,237,Damián Fernández,ar ARG,DF,Vélez Sarsfield,23-117,2001,8,6,662,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,0.0,0,1,47,27,57.4,169,156,92.3,9,0,1905,101,93,92.1,330,281,85.2,5331,0.0,0,0,0,0,0,18,18,312,3,281,0,2,0,0,54.5,5,51,0,6,11,10,2,3,11,0,8,3,9,21,5
246,238,Esteban Fernández,ar ARG,MF,Newell's OB,22-113,2002,5,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,8,8,13,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,0.0,0,2,10,5,50.0,23,20,87.0,6,2,280,35,32,91.4,71,58,81.7,939,0.1,0,0,2,0,5,7,4,64,0,58,0,1,0,1,50.0,2,0,0,2,4,0,1,0,4,0,2,2,3,4,1
247,239,Federico Fernández,ar ARG,DF,Estudiantes,35-067,1989,10,9,784,8.7,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,6,44,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches,0.0,0,2,68,44,64.7,258,230,89.1,32,0,3749,123,107,87.0,462,384,83.1,7855,0.1,0,0,0,0,1,19,18,442,2,384,1,0,0,1,63.6,4,53,0,7,11,8,1,4,9,1,7,1,6,17,5
248,240,Gustavo Fernández,ar ARG,FW,Deportivo Riestra,33-268,1990,8,3,350,3.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,4,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.13,0.05,0.13,Matches,-0.3,0,7,8,1,12.5,20,7,35.0,2,3,131,53,37,69.8,92,48,52.2,559,0.3,0,0,0,0,7,2,0,90,4,48,0,0,1,0,33.3,2,6,0,1,3,0,1,0,3,1,1,1,1,3,1
249,241,Ignacio Fernández,ar ARG,MF,Boca Juniors,21-278,2002,6,5,515,5.7,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,8,45,3,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches,-0.4,0,4,36,31,86.1,171,161,94.2,43,4,2210,179,166,92.7,398,362,91.0,6375,0.2,0,0,0,0,0,17,14,380,4,362,1,4,1,3,44.4,15,4,0,12,27,7,9,3,20,1,7,12,9,27,12
250,242,Ignacio Fernández,ar ARG,"MF,FW",River Plate,34-107,1990,14,11,903,10.0,1,6,7,1,0,0,3,0,1.4,1.4,3.1,4.5,19,83,58,0.10,0.60,0.70,0.10,0.70,0.14,0.31,0.45,0.14,0.45,Matches,+2.9,6,23,67,43,64.2,223,178,79.8,54,24,2561,221,197,89.1,554,431,77.8,7520,4.0,7,0,20,10,41,45,18,506,14,431,3,6,7,5,23.1,20,8,0,6,26,7,9,3,13,3,2,8,8,20,12
251,243,Julián Fernández,ar ARG,MF,Newell's OB,29-006,1995,12,6,597,6.6,1,0,1,1,0,0,1,0,,,,,,,,0.15,0.00,0.15,0.15,0.15,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,18,,
252,244,Nicolás Fernández,ar ARG,FW,Defensa y Just,28-080,1996,14,14,1166,13.0,5,1,6,3,2,2,1,0,5.3,3.7,1.5,5.2,16,27,54,0.39,0.08,0.46,0.23,0.31,0.41,0.12,0.52,0.28,0.40,Matches,-0.5,0,14,13,9,69.2,76,52,68.4,15,7,560,109,76,69.7,224,141,62.9,2307,1.2,0,0,1,0,8,30,1,189,12,141,5,1,1,5,14.3,6,9,0,1,7,0,7,0,3,1,0,2,3,3,7
253,245,Nicolás Fernández,ar ARG,DF,Estudiantes,22-077,2002,2,1,120,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,0.0,0,1,17,8,47.1,29,21,72.4,5,1,435,27,25,92.6,75,55,73.3,1048,0.0,0,0,0,0,1,12,1,63,0,55,0,0,0,11,0.0,2,6,1,0,2,2,1,0,0,0,0,0,0,2,1
254,246,Rodrigo Fernández,uy URU,MF,Newell's OB,28-116,1996,11,11,889,9.9,0,0,0,0,0,0,9,1,0.2,0.2,0.7,0.9,24,66,11,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,-0.7,3,5,106,69,65.1,216,186,86.1,54,11,2456,165,148,89.7,509,405,79.6,8440,0.8,0,0,0,0,7,31,28,475,15,405,3,13,1,3,45.5,24,18,2,20,44,13,11,5,33,3,11,19,22,46,16
